row_id,experiment_id,active_hosts,packet_size,packets_sent,bits_sent,total_duration,fairness_index
1,1517,24,64,136691,91856352,100000198.095775,3277.61574345183,
2,1517,24,128,79241,93821344,100000296.217445,2443.44407177038,
3,1517,24,256,42042,92828736,100000542.582303,5235.68185914645,
4,1517,24,512,21662,92193472,100000278.207951,10919.5192706372,
5,1517,24,768,14637,92271648,100002153.871965,18229.7009408297,
6,1517,24,1024,11036,92172672,100002264.331165,23209.0645879378,
7,1517,24,1536,7479,93098592,100002308.671975,34109.2885227491,
8,1517,24,2048,5628,93109632,100004143.830381,45051.9345168878,
9,1517,24,3072,3788,93699968,100000462.047985,52484.4779411551,1.0
10,1517,24,4000,2899,93231840,100000199.623985,64875.430333775,1.0
11,1518,24,64,127805,85884960,92867987.1740499,2568.12268255604,
12,1518,24,128,80071,94804064,100000131.113427,2336.73033536481,
13,1519,24,64,32320,21719040,23684678.2479675,3292.14680009246,0.864542640133583
14,1519,24,128,79648,94303232,100000577.182234,2295.25334700673,0.932294140063337
15,1519,24,256,42727,94341216,100000142.179073,4987.28604998936,0.95504742719297
16,1519,24,512,9948,42338688,45106918.8127649,11146.8496782348,0.884351818569422
17,1519,24,768,344,2168576,-47342529.3856,27500.625501686,0.526021941288384
18,1519,24,1024,4016,33541632,-14317856.4495995,19874.608562089,0.880457131676912
19,1519,24,1536,957,11912736,-37101648.6287998,25490.1899826189,0.771212687698308
20,1519,24,2048,2432,40235008,-7513520.52799937,35689.5949098099,0.868557143092101
21,1519,24,3072,1139,28174304,-20084226.8431998,54956.6874610871,0.801254638344969
22,1519,24,4000,1065,34250400,-13558577.7935998,66251.0315702851,0.743761901764215
23,1520,24,64,31884,21426048,-26517335.8479987,2308.48682733165,0.887075332645714
24,1520,24,128,80078,94812352,100000402.38863,2190.78795552281,0.946176760400749
25,1520,24,256,42881,94681248,100001272.252673,4491.31466291814,0.937200662017111
26,1520,24,512,8202,34907712,37160351.2031779,8861.78728301282,0.883074266480816
27,1520,24,768,2884,18180736,19639774.6304013,14851.801978928,0.873256074963349
28,1520,24,1024,4789,39997728,-7305592.56799933,19572.2000456842,0.929163106401926
29,1520,24,1536,718,8937664,-40229607.9935999,30457.4567901385,0.513922881320108
30,1520,24,2048,4337,71751328,75965567.1503752,37845.8456319537,0.925844182537888
31,1520,24,3072,2797,69186592,72945014.8815825,53571.4948363233,0.758784246299293
32,1520,24,4000,735,23637600,-25034478.9423998,70815.1822304907,0.850293737202876
33,1523,24,64,138040,92762880,100000017.364493,3088.64226966604,0.940151629670311
34,1523,24,128,79860,94554240,100000047.148599,2069.52727693419,0.935679692200411
35,1523,24,256,42862,94639296,100000053.143866,4344.50500777432,0.966623057041231
36,1523,24,512,6197,26374432,-21559126.5151995,10055.8167022528,0.887853996972838
37,1523,24,768,11208,70655232,75244283.9999415,15787.1717771366,0.953713206782804
38,1524,24,64,138324,92953728,100000047.674971,2590.41608650439,0.933164317513986
