"Packet Size"	"Topology 1 (5 and 1)"	"Topology 2 (Even)"	"Topology 3 (4 and 2)"
64	0.624539719486124	0.989198455432494	0.97833363892812
128	0.826747419089251	0.94111161159228	0.928486526348746
256	0.823644385869692	0.995414837672066	0.975416428459318
512	0.821538502870815	0.95876180667944	0.979877727061563
768	0.820917901113658	0.977223338855605	0.962165889696737
1024	0.842858099631433	0.97692582430491	0.960767397079259
1536	0.840458077007784	0.966576166364509	0.965908076899434
2048	0.788080144704415	0.955790503925485	0.906099730998296
3072	0.832822363041551	0.989738464388515	0.990530392848367
4000	0.855195215908193	0.968867574913984	0.980520353678021
